Abbreviation,Meaning
Cu-IUD,Copper-based Intrauterine Device
CUD,Carnitine Uptake Deficiency
CVA,Cerebrovascular Accident (stroke)
CVAI,Cranial Vault Asymmetry Index
CVAT,Costovertebral Angle Tenderness
CVC,Central Venous Catheter
CVD,Cardiovascular Disease
CVI,Cerebral Visual Impairments
CVID,Common Variable Immune Deficiency
CVP,Central Venous Pressure
CVS,Cardiovascular System
Cx,Culture
CXR,Chest X-Ray
D Exon,Diversity Exon
d/c,discontinue
D/C,Discharge
D/H,Discharge Home
d/o,disorder
d/t,due to
d/w,discuss with
D5W,5% dextrose in water
DA,Decision Aid
DA,Dopamine
DAD,Delayed Afterdepolarization
DAG,Diacylglycerol
DAMP,Damage Associated Molecular Pattern
DART,Dexamethasone: A Randomized Trial (for BPD)
DASH,Dietary Approaches to Stopping Hypertension
DAT,Direct Antiglobulin Test
DBD,Donation after Brain Death
DBP,Diastolic Blood Pressure
DBT,Dialectical Behavior Therapy
DC,Dendritic Cell
DC,Discharge
DC/ML,Dorsal Column/Medial Lemniscal
DCCT,Diabetes Control and Complications Trial
DCD,Donation after Cardiac Death
DCM,Dilated Cardiomyopathy
DDAVP,Desmopressin (1-desamino-8-D-arginine vasopressin)
DDK,Dysdiadochokinesia
DDx,Differential Diagnosis
DESD,Detrusor External Sphincter Dyssynergia
DEXA,Dual-Energy X-ray Absorptiometry
DHA,DocosaHexaenoic Acid
DHAP,Dihydroxyacetone Phosphate
DHT,Dihydrotestosterone
DI,Diabetes Insipidus
DIC,Disseminated Intravascular Coagulation
DICT,"Dense, Irregular, Connective Tissue"
Diff,Differential
DIP,Desquamative Interstitial Pneumonia
DIP,Distal Interphalangeal joint
DIPG,Diffuse Intrinsic Pontine Glioma
DIT,diiodothyronine
DKA,Diabetic KetoAcidosis
DLBCL,Diffuse Large B-Cell Lymphoma
DLCO,Diffusing Capacity for Carbon Monoxide
DLRB,Direct Laryngoscopy and Rigid Bronchoscopy
DLT,Dual Lumen Tube
DM,Diabetes Mellitus
DM,Donor Milk
DMARDs,Disease-Modifying Antirheumatic Drugs
DME,Durable Medical Equipment
DMPA,Depot Medroxyprogesterone Acetate
DMSA,DiMercaptoSuccinic Acid (renal scan)
DNA,Deoxyribonucleic Acid
DNAR,Do Not Attempt Resuscitation
DNES,Diffuse Neuroendocrine System
DNR,Do Not Resuscitate
DOA,Dead On Arrival
DOAC,Direct Oral Anticoagulant
DOE,Disease Oriented Evidence/outcome
DOE,Dyspnea On Exertion
DOL,Day Of Life
DORV,Double Outlet Right Ventricle
DP,Dorsalis Pedis
DPN,Deep Peroneal Nerve
DPN,Diabetic Peripheral Neuropathy
DPOA,Durable Power of Attorney
DPOAE,Distortion-Product OtoAcoustic Emission
DPP,Dipeptidyl Peptidase
DPR,Direct Peritoneal Resuscitation
DQ,Developmental Quotient
DR,Delayed Release
DRE,Digital Rectal Exam
DRG,Dorsal Root Ganglion (aka PRG)
DSD,Disorders of Sex Development
DSM,Diagnostic and Statistical Manual of Mental Disorders
DSM-5-TR,"Diagnostic and Statistical Manual of Mental Disorders, Fifth Edition, Text Revision"
DST,Dexamethasone Suppression Test
DTH,Delayed-Type Hypersensitivity
DTR,Deep Tendon Reflex
DUMBBELLS,"Diarrhea, Urination, Miosis, Bradycardia, Bronchospasm, Emesis, Lacrimation, Lethargy, and Salivation/Seizures"
